이승훈,SCIENCEON,성균관학교 디자인대학원,KCI,성균관학교 디자인대학원
이승훈,SCIENCEON,장명초등학교,KCI,장명초등학교
반영환,SCIENCEON,국민대학교,KCI,국민대학교
최지수,SCIENCEON,홍익대학교
나건,KCI,홍익대학교,SCIENCEON,홍익대학교
이지현,SCIENCEON,서울여자대학교,KCI,서울여자대학교
이지현,SCIENCEON,연세대학교,KCI,연세대학교
이지현,KCI,한국과학기술원,SCIENCEON,한국과학기술원
손채봉,SCIENCEON,광운대학교
김종무,DBPIA,단국대학교 사회과학대학 커뮤니케이션학부
김종무,SCIENCEON,단국대학교
성열홍,SCIENCEON,홍익대학교
이필하,SCIENCEON,건국대학교
김미현,SCIENCEON,중앙대학교,KCI,중앙대학교
김미현,DBPIA,한국복식학회
윤재영,SCIENCEON,홍익대학교,KCI,홍익대학교
신윤숙,SCIENCEON,전남대학교,KCI,전남대학교
전한종,DBPIA,한양대 건축학부
전한종,SCIENCEON,한양대학교,NTIS,한양대학교
전한종,SCIENCEON,한양대학교,KCI,한양대학교
고영준,DBPIA,서울과학기술대학교 디자인과
고영준,DBPIA,서울과학기술대학교 디자인학과
고영준,KCI,서울과학기술대학교,SCIENCEON,서울과학기술대학교
이재규,KCI,홍익대학교,SCIENCEON,홍익대학교
연명흠,DBPIA,국민대학교 테크노디자인대학원 스마트경험디자인학과
연명흠,SCIENCEON,국민대학교,KCI,국민대학교
연명흠,SCIENCEON,국민대학교,NTIS,국민대학교
이근,SCIENCEON,홍익대학교,KCI,홍익대학교
전효진,SCIENCEON,조선대학교
김남수,SCIENCEON,텍사스주립대학교; 프린팅인증센터; 교수,KCI,텍사스주립대학교; 프린팅인증센터; 교수
김경숙,SCIENCEON,한양대학교
송지성,DBPIA,한양대학교 디자인대학 시각디자인학과
송지성,SCIENCEON,한양대학교,KCI,한양대학교
오명선,SCIENCEON,콘텐츠디자인랩
남현우,SCIENCEON,서경대학교,KCI,서경대학교
이경아,SCIENCEON,한양대학교
편정민,KCI,서울과학기술대학교,SCIENCEON,서울과학기술대학교
한영애,SCIENCEON,연세대학교
한영애,DBPIA,연세대학교 시각디자인학과
이미숙,SCIENCEON,조선대학교,KCI,조선대학교
노윤선,KCI,동서대학교,SCIENCEON,동서대학교
오세원,KCI,홍익대학교,SCIENCEON,홍익대학교
이운영,KCI,경북대학교,SCIENCEON,경북대학교
이운영,DBPIA,경북대학교 섬유패션디자인학부 패션디자인
이운영,NTIS,성신여자대학교
