방대혁,SCIENCEON,다사랑병원,KCI,다사랑병원
이수현,SCIENCEON,삼육대학교,KCI,삼육대학교
박은혜,SCIENCEON,이화여자대학교,KCI,이화여자대학교
이제혁,SCIENCEON,러스크 수지병원,KCI,러스크 수지병원
허영철,SCIENCEON,한국기계연구원
허영철,SCIENCEON,한국기계연구원 기계시스템안전연구본부
최승담,KCI,한양대학교,SCIENCEON,한양대학교
고효은,SCIENCEON,동신대학교,KCI,동신대학교
반영선,KCI,안동대학교,SCIENCEON,안동대학교
이명원,KCI,수원대학교,NTIS,수원대학교,SCIENCEON,수원대학교
김동호,KCI,숭실대학교,SCIENCEON,숭실대학교,NTIS,숭실대학교
김동호,SCIENCEON,서울과학기술대학교,NTIS,서울과학기술대학교
김동호,KCI,한국폴리텍대학
최돈출,SCIENCEON,주위메이드아이앤씨 기술연구소
최돈출,KCI,(주)위메이드아이앤씨 기술연구소
김현태,SCIENCEON,한국체육대학교,KCI,한국체육대학교
최성열,KCI,건양대학교,SCIENCEON,건양대학교
박현우,KCI,홍익대학교,SCIENCEON,홍익대학교
신혜미,KCI,위메이드아이앤시(주) 사원
신혜미,SCIENCEON,위메이드아이앤시주 사원
전지윤,KCI,한독미디어대학원대학교,SCIENCEON,한독미디어대학원대학교
전지윤,KCI,서울미디어대학원대학교
노기영,SCIENCEON,한림대학교,KCI,한림대학교,NTIS,한림대학교
유관희,KCI,충북대학교,SCIENCEON,충북대학교
이용호,KCI,서울대학교,SCIENCEON,서울대학교
영명숙,SCIENCEON,대전대학교,KCI,대전대학교
연성진,SCIENCEON,한국형사정책연구원,KCI,한국형사정책연구원
석혜정,SCIENCEON,아주대학교,KCI,아주대학교
이재열,SCIENCEON,전남대학교,NTIS,전남대학교,KCI,전남대학교
이재열,KCI,영남대학교,SCIENCEON,영남대학교
류재호,KCI,서울과학기술대학교,SCIENCEON,서울과학기술대학교
박수진,SCIENCEON,대구대학교,KCI,대구대학교
박수진,NTIS,연세대학교
정보라,SCIENCEON,중앙대학교,KCI,중앙대학교
정보라,NTIS,연세대학교
신중일,SCIENCEON,호남대학교,KCI,호남대학교
우탁,NTIS,경희대학교,KCI,경희대학교,SCIENCEON,경희대학교
김시호,KCI,연세대학교,SCIENCEON,연세대학교,NTIS,연세대학교
유승범,SCIENCEON,전남대학교,KCI,전남대학교
황병용,SCIENCEON,용인대학교,KCI,용인대학교
김민정,KCI,남서울대학교,SCIENCEON,남서울대학교
김민정,KCI,UNIVERSITY OF MASSACHUSETTS; LOWELL
김민정,SCIENCEON,단국대학교,NTIS,단국대학교,KCI,단국대학교
김민정,NTIS,연세대학교
박제원,SCIENCEON,숭실대학교,KCI,숭실대학교
김현진,SCIENCEON,한려대학교,KCI,한려대학교
박성제,SCIENCEON,중앙대학교,KCI,중앙대학교
이용재,KCI,순천향대학교,SCIENCEON,순천향대학교
이석현,KCI,광주대학교,SCIENCEON,광주대학교
이효정,NTIS,공주대학교
이효정,KCI,한국교통대학교,SCIENCEON,한국교통대학교
문영빈,KCI,서울여자대학교,SCIENCEON,서울여자대학교
채정병,KCI,마산대학교,SCIENCEON,마산대학교
이건명,KCI,충북대학교,SCIENCEON,충북대학교
임창주,SCIENCEON,한국산업기술대학교,KCI,한국산업기술대학교
전영,SCIENCEON,유원대학교,KCI,유원대학교
장광집,KCI,경희대학교,SCIENCEON,경희대학교
김태영,KCI,서경대학교,NTIS,서경대학교,SCIENCEON,서경대학교
김태영,NTIS,청주대학교
최세정,SCIENCEON,고려대학교,KCI,고려대학교
강종호,KCI,부산가톨릭대학교,SCIENCEON,부산가톨릭대학교
김인배,SCIENCEON,부산가톨릭대학교,KCI,부산가톨릭대학교
김인주,KCI,상명대학교,SCIENCEON,상명대학교
이상연,SCIENCEON,서울대학교,KCI,서울대학교
양영애,KCI,인제대학교,SCIENCEON,인제대학교
고정연,SCIENCEON,삼성창원병원 가상현실 연구소,KCI,삼성창원병원 가상현실 연구소
유은영,KCI,연세대학교,SCIENCEON,연세대학교
