name1,site1,id1,name2,site2,id2
"Campbell, Abraham G.",WOS,ss9449416,"Campbell, Abraham G.",SCOPUS,14030988900
"Moon, Seong-Yong",WOS,s7750554,Moon S.-Y.,SCOPUS,57221646620
"Fan, Wenhan",WOS,ss9484423,Fan W.,SCOPUS,57219904830
"Wang, Longqin",WOS,ss9470859,Wang Y.,SCOPUS,57213606060
"Shah, Mohd Kamal Mohd",WOS,ss9477410,"Mohd Shah, Mohd Kamal",SCOPUS,56136718100
"Bin Mohamed, Farhan",WOS,ss9449431,"Mohamed, Farhan Bin",SCOPUS,55416008900
"Wang, Longqin",WOS,ss9470859,Wang S.,SCOPUS,57216367866
"Wang, Jingjing",SCOPUS,55904658700,"Wang, Longqin",WOS,ss9470859
"Wang, Longqin",WOS,ss9470859,Wang L.,SCOPUS,57225127392
