name1,site1,id1,name2,site2,id2
"Bartzanas, Thomas",WOS,ss9682069,"Bartzanas, Thomas",SCOPUS,8669579200
"Kumar, V. D. Satish",WOS,ss9681896,"Kumar, Nagesh",SCOPUS,57209905951
Li Xiaofeng,WOS,ss9682168,Xiaofeng L.,SCOPUS,57514781000
"Kumar, V. D. Satish",WOS,ss9681896,"Kumar, Sanjeev",SCOPUS,57218172760
"Kumar, V. D. Satish",WOS,ss9681896,Kumari P.V.,SCOPUS,57612290600
"Kumar, V. D. Satish",WOS,ss9681896,Kumari S.,SCOPUS,57226321115
"Kumar, V. D. Satish",WOS,ss9681896,Kumar G.B.A.,SCOPUS,57615406100
