name1,site1,id1,name2,site2,id2
"Chung, Yeh-Ching",WOS,s6894982,"Chung, Yehching",SCOPUS,7404388056
"Huang, Mao Lin",WOS,s6894947,"Huang, Maolin",SCOPUS,13906803200
"Dhavachelvan, P.",WOS,s8495,"Dhavachelvan, P.",SCOPUS,6506713915
"Dhavachelvan, P.",WOS,s8495,"Dhavachelvan, P.",SCOPUS,6506713915
"Karthik, S.",WOS,s465940,"Karthik, S.",SCOPUS,7003799157
"Bajwa, Hassan",WOS,s6894714,"Bajwa, Hassan",SCOPUS,15764341100
"Bajwa, Hassan",WOS,s6894714,"Bajwa, Hassan",SCOPUS,15764341100
"Gugulothu, Narsimha",WOS,s615106,"Gugulothu, Narsimha",SCOPUS,22234757000
"Gugulothu, Narsimha",WOS,s615106,"Gugulothu, Narsimha",SCOPUS,22234757000
"Kim, Jeong-Joon",WOS,s6894626,"Kim, Jeong-joon",SCOPUS,57192304137
"Arunachalam, A. R.",WOS,s486864,"Arunachalam, A. R.",SCOPUS,56043478300
"Arunachalam, A. R.",WOS,s486864,"Arunachalam, A. R.",SCOPUS,56043478300
"Sharma, Sanjiv",WOS,s6894787,"Sharma, Sanjiv",SCOPUS,57192555919
"Sharma, Sanjiv",WOS,s6894787,"Sharma, Sanjiv",SCOPUS,57192555919
"Wang, Zhenzhen",WOS,s6894958,"Wang, Hao",SCOPUS,56259400100
"Wang, Zhenzhen",WOS,s6894958,Wang K.,SCOPUS,57327659000
"Wang, Zhenzhen",WOS,s6894958,Wang K.,SCOPUS,57327659000
"Wang, Zhenzhen",WOS,s6894958,"Wang, Lei",SCOPUS,57070678300
"Wang, Zhenzhen",WOS,s6894958,Wang Y.,SCOPUS,57377745500
"Kim, Seong-kyu",WOS,s6894635,"Kim, Jongwon",SCOPUS,36063003600
"Kim, Seong-kyu",WOS,s6894635,"Kim, Hee-yeong",SCOPUS,57195973020
"Kim, Seong-kyu",WOS,s6894635,"Kim, Soongohn",SCOPUS,56841183900
"Kim, Seong-kyu",WOS,s6894635,"Kim, Daeyoung",SCOPUS,55742886900
"Kim, Seong-kyu",WOS,s6894635,"Kim, Mun Kyeom",SCOPUS,36679155300
"Kim, Seong-kyu",WOS,s6894635,"Kim, Song Kyoo",SCOPUS,57206675586
"Tan, Jianrongg Rong",WOS,s7133775,"Tang, Yong",SCOPUS,34969635100
"Zhang, Yunpeng",WOS,ss9437918,"Zhang, Xinzhi",SCOPUS,55330999000
"Rodrigues, Joel J. P. C.",WOS,s532491,"Rodrigues, Joel J.P.C.",SCOPUS,25930566300
"Rodrigues, Joel J. P. C.",WOS,s532491,"Rodrigues, Joel J.P.C.",SCOPUS,25930566300
