230|2003
168|2005
146|1996
138|2001
125|2005
114|2006
111|2003
109|2003
73|2002
72|1996
71|2002
66|1996
63|2009
61|1998
59|2009
54|2010
53|1999
53|1993
52|2006
50|2001
45|2002
43|2006
40|2009
36|1996
36|2000
35|2004
31|2004
29|2005
29|2002
28|2002
27|2008
26|2006
22|2010
21|2000
21|2009
20|1998
18|1998
17|2000
16|2004
15|2010
15|2005
14|2010
13|2003
13|1997
12|2012
12|2009
11|1999
10|2009
10|2001
9|2004
9|2008
8|2002
8|1994
7|2008
7|2008
7|2007
7|2005
7|2008
6|2005
6|2008
6|2005
6|2005
5|2011
5|2010
4|2010
4|2006
4|2009
3|2002
2|2002
2|2010
2|2010
2|2004
1|2012
1|2011
1|2010
1|2006
1|2007
1|2009
0|2012
0|2012
0|2012
0|2011
0|2008
0|2009
0|2010
0|2005
0|2011
0|2003
0|2008
0|2009
0|2011
0|2011
0|2011
0|2009
0|2009
0|2010
0|2004
0|2005
0|2006
0|2008
0|2011
0|2011
0|2011
0|2011
0|1993
0|2011
0|2010
0|2008
0|2008
