309|2009
298|2004
240|2002
151|2004
149|2010
131|2009
118|2004
111|2006
107|2004
106|2004
104|2005
93|2007
92|2005
91|2008
89|2007
88|2006
88|2008
88|2008
85|2000
84|2004
77|2005
71|2006
70|2005
70|2007
69|2009
67|2005
65|2010
64|2007
64|2005
62|2010
56|2009
54|2008
53|2010
51|2005
50|2010
50|2008
49|2009
49|2007
48|2006
47|2007
45|2008
43|2010
43|2010
43|2005
43|2009
42|2010
42|2005
40|2009
39|2009
38|2009
38|2006
37|2005
32|2007
32|2008
31|2009
31|2007
30|2008
29|1995
28|2009
28|1995
27|2008
26|2011
26|2009
25|2008
24|1993
23|2007
22|2004
21|2005
20|2009
19|2005
19|2004
18|2008
18|2008
18|2010
16|1998
15|2011
15|2004
15|2003
14|2002
13|2004
12|2010
12|2011
12|2008
11|2005
11|2007
11|2003
10|2011
9|2010
9|2007
9|2009
9|1992
8|1988
7|2010
7|1999
7|1998
7|2011
7|1990
7|1993
6|2004
6|2000
5|2011
5|2007
5|2005
5|2004
5|1992
4|2004
4|2004
4|2000
4|2008
4|2007
4|2006
3|2011
3|2012
3|1995
3|1996
3|2007
3|1996
3|2009
3|1999
2|2012
2|1991
2|2011
2|2011
2|2006
2|2009
2|2008
2|1989
1|2012
1|2012
1|2011
1|2011
1|2003
1|1995
1|2004
1|2008
1|1992
1|1997
1|2009
1|2003
0|2012
0|2012
0|2012
0|2012
0|2012
0|2004
0|2011
0|2011
0|2011
0|2007
0|2002
0|1990
0|2008
0|2001
0|2011
0|2011
0|2003
0|2011
0|1989
0|1993
0|2008
0|2008
0|2005
0|2006
0|2008
0|2004
0|2002
0|2007
0|1999
0|2009
0|1994
0|2006
0|2008
0|1997
0|2008
0|2001
0|2011
0|2000
0|1992
