193|2002
174|1992
143|1999
140|1990
98|2003
98|1992
94|1990
90|1990
88|2002
59|2002
55|1988
55|1991
47|1999
47|1993
44|2000
44|2009
43|2001
41|1996
41|2005
39|2002
36|2005
35|2006
33|2000
32|2004
32|1997
29|2005
29|1999
28|2007
28|1996
26|2001
25|1994
25|2008
25|2002
23|2010
21|2009
19|1996
19|1993
19|1990
18|1998
18|2006
17|1996
17|1992
16|2010
15|2008
15|2003
14|2002
14|2010
14|2006
13|1996
13|2007
13|2004
13|1995
13|2000
12|2001
12|2006
11|2003
10|2006
10|2009
9|1997
9|2003
9|2001
8|2010
8|2010
8|1996
7|2010
7|2009
7|2006
6|2010
6|1996
6|1993
6|2008
6|2004
6|2002
5|2010
5|2007
5|2009
5|1998
4|2010
4|2010
4|2002
4|2010
4|1994
3|2009
3|1995
3|2007
3|2009
3|2004
2|2009
2|2004
2|2009
2|2005
1|2012
1|2011
1|1986
0|2012
0|2012
0|2012
0|2012
0|1998
0|2003
0|2011
0|2002
0|2008
0|2011
0|2012
0|2010
0|2011
0|2010
0|2011
