180|2005
173|2002
136|2000
94|2004
82|2001
78|1997
75|2002
68|2003
66|2002
43|2003
43|2002
41|2000
36|2008
34|2009
34|2004
34|2003
32|1987
30|2002
29|1999
27|2000
22|2004
21|2004
21|2000
17|2005
14|2002
13|2008
13|1999
13|2000
12|2008
12|2005
12|1995
10|2006
10|1987
10|1989
9|2001
9|2002
9|1998
9|1999
9|2000
9|1998
8|2003
8|1991
8|2005
7|2010
7|2005
6|2010
6|1999
6|2010
6|2003
5|1999
4|1997
4|2000
4|1996
3|1998
3|2007
3|2000
3|2006
3|2006
3|2009
2|2010
2|2003
2|1999
2|2006
2|2004
2|1999
2|2003
1|2004
1|2011
1|2005
1|2000
1|2003
1|2004
1|2007
0|2004
0|2006
0|2012
0|1989
0|1990
0|2009
0|2009
0|2003
0|2006
0|2003
0|2011
0|2005
0|2001
0|2009
0|2010
0|1998
0|2007
0|2000
0|2010
0|2005
0|2010
0|2011
0|2009
0|2004
0|2009
0|2010
0|2003
0|2007
