75|2003
71|2006
54|2010
50|2003
37|2007
36|2009
35|2002
29|2007
29|2002
26|2002
22|2001
22|2006
20|2008
18|2006
15|2001
14|2002
14|2008
13|2007
13|2004
12|2010
12|2009
12|2001
11|2000
9|2009
9|2001
8|2002
8|2007
7|2009
7|2001
6|2006
6|2003
6|2009
6|2009
6|2009
6|2009
6|2001
6|2001
5|2010
5|2007
5|2011
5|2008
5|2000
4|2010
4|2008
4|2000
4|2002
4|2002
4|2002
4|2001
3|2003
3|2002
3|2008
3|2006
3|2007
3|2009
3|2003
3|2005
3|2002
2|2010
2|2000
2|2003
2|2006
2|2006
2|2008
2|2004
1|2010
1|2010
1|2007
1|2010
1|2006
1|2011
1|2006
1|2006
1|2011
0|2012
0|2012
0|2010
0|2008
0|2006
0|2001
0|2002
0|2007
0|2000
0|2003
0|2012
0|2008
0|2010
0|2000
0|2005
0|2011
0|2008
0|2002
0|2001
0|2000
0|2003
0|2010
0|2010
0|2004
0|2002
0|2006
0|2006
0|2009
0|2002
0|2003
0|1999
0|2006
0|2006
0|2011
0|2011
