684|2005
465|2006
251|2000
231|2006
222|1999
207|1998
204|1998
172|1996
166|1998
165|1996
149|1998
143|1998
127|2003
121|1997
111|2005
102|1996
91|1991
91|2001
69|2008
68|2008
67|1998
66|1997
61|1999
60|1998
60|2001
58|2007
56|2010
56|2002
55|1996
54|1995
50|1994
46|1994
42|1992
41|2005
41|1998
38|2005
38|2006
34|1995
33|1998
30|1998
26|2005
26|1995
25|2009
19|2006
19|1991
18|2002
17|2010
17|2005
16|2007
15|2007
15|2005
13|2010
13|2005
12|1991
11|2011
11|2007
11|2004
7|2004
7|2005
5|1992
4|2011
4|2008
3|2008
3|2007
2|2011
2|2000
1|1999
1|2000
1|2000
1|1991
0|2010
0|2012
0|1991
0|1999
0|1998
0|1998
0|1999
