66|2006
57|1997
49|2005
48|2004
42|2003
41|2006
35|1994
32|2007
30|2002
23|1997
22|1995
21|1994
20|2009
20|2000
17|2000
17|1998
17|1996
16|2005
16|2007
15|2004
15|2007
14|2011
14|1995
14|2003
14|2010
13|2003
13|1999
13|1997
13|2005
13|2006
12|2009
11|2006
11|2009
10|2010
10|2006
10|1999
10|2001
9|2005
9|2001
9|1997
8|2007
8|2005
8|1995
8|1997
8|1996
7|2002
7|2006
7|1998
6|2009
6|2007
5|2010
4|2010
4|2005
4|2011
4|2000
4|2004
4|2007
3|2008
3|2005
3|2008
3|2008
2|2004
2|1992
2|2011
2|2011
1|2011
1|2011
1|2010
1|2012
0|2011
0|2003
0|2011
0|2009
0|2010
0|1999
0|2012
0|2011
0|2010
0|2011
0|2012
0|1994
0|2011
