419|1994
224|1996
220|2004
183|1999
149|2002
147|1996
137|2002
97|2000
94|2001
85|2003
76|2006
56|2009
52|2003
49|2004
46|2007
45|2005
44|2004
41|2002
40|2003
39|2007
38|2005
36|2005
35|2006
32|2008
31|2006
30|2006
29|2004
29|2000
28|2004
28|2000
27|2008
24|2007
23|2005
22|2005
22|1999
22|2006
21|2008
21|2000
20|1995
20|1999
19|2008
19|2000
18|2005
14|2006
13|2009
13|2005
13|2009
13|2006
12|2008
12|2004
11|2009
11|2005
11|2006
11|2007
10|2010
10|2010
9|2009
9|2006
8|2008
8|2010
7|2011
7|2007
7|2006
6|2009
6|2009
5|2008
5|1993
4|2010
4|2009
4|2010
4|2000
3|2010
3|2007
2|2011
2|2011
2|2008
2|2000
2|2001
1|2011
1|2001
1|2011
1|2007
0|2011
0|2008
0|2008
