101|2008
75|1999
71|1999
67|2005
63|2010
62|2008
60|2006
58|2006
53|2001
43|2007
43|2009
42|2009
41|2007
37|2005
35|2009
31|2001
30|2007
28|2010
28|2007
26|2000
25|2008
23|2006
21|2005
20|2011
20|2007
18|2007
18|2008
17|2007
17|2009
15|2007
14|2009
14|2000
14|2001
13|2011
13|2005
13|2001
12|2007
12|2003
11|2011
11|2011
11|2004
11|2010
11|2011
11|2008
10|2006
9|2012
9|2011
9|2008
9|2008
8|2011
8|2004
8|2006
8|2007
8|2008
7|2010
7|2011
7|2008
7|2006
7|2008
6|2010
6|2011
6|2008
6|2011
6|2008
5|2008
5|2010
5|2010
5|2008
5|2008
4|2011
4|2010
4|2010
3|2012
3|1982
3|2011
3|2011
3|2007
3|2010
3|2010
3|2009
3|2005
3|2006
2|2010
2|2004
2|2006
2|2010
2|2011
2|2010
2|2010
2|2009
2|2009
2|2008
2|2010
2|2009
1|2012
1|2012
1|2012
1|2012
1|2012
1|2005
1|2009
1|2010
1|2011
1|2003
1|2011
1|2009
1|2007
1|2008
1|2009
1|2006
0|2012
0|2012
0|2012
0|2012
0|2012
0|2012
0|2012
0|2012
0|2012
0|2012
0|2012
0|2000
0|2011
0|2010
0|2012
0|2012
0|2012
0|2008
0|2011
0|2011
0|2011
0|2011
0|2011
0|2011
0|2009
0|2011
0|2011
0|2010
0|2009
0|2011
0|2009
0|2012
0|2011
0|2008
0|2011
0|2008
0|2008
0|2011
0|1998
0|2010
