1437|1992
587|2002
418|1993
417|1993
355|1995
319|1998
301|1996
297|1994
295|1998
260|1996
253|1998
245|2001
240|1995
233|1997
229|1991
220|1993
212|1996
172|2006
143|1997
140|2002
139|2001
139|1998
132|1994
128|1999
110|1992
109|1997
105|2001
99|2006
98|2004
98|2002
96|1996
92|2005
71|2004
64|1997
56|2006
53|2004
53|1998
50|1992
47|2001
45|1998
43|2004
35|2008
35|2006
35|2006
33|2001
33|2005
32|2004
30|1995
27|2007
25|2004
25|1993
25|1988
24|2007
24|2007
23|2009
23|2007
22|1994
21|2007
21|1991
17|2004
15|2009
15|2008
11|1995
8|2006
7|2010
6|1993
5|2002
5|2010
5|2010
5|2008
5|1996
4|2010
3|2009
3|2005
3|1993
2|2008
2|2011
1|2009
1|2009
0|1998
0|1998
0|1996
0|2006
0|1994
