109|1992
107|2010
96|1991
73|1997
67|1995
63|2007
59|2003
58|1998
49|2007
45|1989
44|2008
42|1988
42|1988
41|2000
38|2007
36|2001
35|2000
33|1994
31|2003
30|2002
30|1999
29|1996
28|1999
28|2003
27|1994
26|2007
26|2008
26|1994
26|2004
23|2002
23|2000
22|1992
21|2005
15|2007
14|2010
13|2002
13|1993
13|2009
13|2007
12|1997
12|2005
12|2002
12|2006
12|2004
12|2002
12|1997
11|1997
11|1999
11|2004
10|2008
9|2005
9|1994
9|1998
8|2009
8|2004
8|2003
8|2005
7|1989
7|2009
7|2006
7|1996
6|1998
6|2000
5|2010
5|2003
5|1989
5|2000
5|1989
5|2001
4|2008
4|1988
4|2009
4|2008
3|2010
3|2008
3|2005
3|2006
3|2010
3|2006
2|2011
2|2009
2|2008
2|2006
2|2004
2|1990
2|2005
2|2010
2|2003
1|2004
1|2003
1|2004
1|2003
1|2005
1|2002
1|2005
1|2002
1|2001
0|1994
0|2008
0|2011
0|2005
0|2010
0|2002
0|2008
0|2005
0|1988
0|2003
0|2003
0|2007
0|2009
0|2001
0|2010
