546|2004
438|1999
154|2007
153|2004
110|2004
110|2001
96|2004
95|2008
84|2007
82|2002
77|2009
73|2003
59|2006
51|2007
44|2008
38|2009
38|2000
34|1999
31|2005
31|2002
29|2003
26|2005
26|2009
22|2003
22|2008
19|2011
19|2006
18|2005
12|2009
11|2010
8|2006
8|2001
7|2010
7|2001
6|2007
4|2007
4|2011
4|2002
3|2010
3|2002
2|1991
2|2012
2|2011
2|2011
2|2008
2|2008
1|2012
1|2008
1|2005
1|2005
0|2012
0|2012
0|2012
0|2011
0|1992
0|2010
0|2004
0|2005
0|2005
0|2004
0|2004
0|2005
0|2008
0|2005
0|2006
0|2011
0|2008
0|2002
0|2011
0|2005
0|2004
0|2007
0|2009
0|2008
0|2010
0|2004
0|2006
0|2010
0|2008
0|2006
0|2001
0|2010
0|2002
0|2003
0|2005
