3499|1998
425|1996
332|1989
227|1995
189|1997
176|1995
149|2010
138|2006
134|1996
131|2009
122|1999
122|1989
106|1989
105|2008
104|2008
93|1996
92|2004
90|2002
87|2008
74|1991
70|2006
65|1997
63|1994
62|2010
62|1998
57|1997
55|2002
54|2010
53|2000
53|2003
50|2010
49|1999
47|2005
47|1996
47|1995
43|2010
42|2011
42|2010
41|1991
38|1998
38|2005
36|2000
35|2007
33|1998
32|2009
31|1996
31|2000
31|2000
30|2004
29|2009
29|1993
29|1997
28|1997
28|2004
27|2002
27|1995
21|2006
20|1999
20|1995
20|1998
19|1993
19|2004
18|2008
17|2005
17|1989
16|2010
16|2007
15|2011
14|2011
14|2008
14|2002
14|2003
13|1995
13|2002
13|1998
13|1990
12|2004
12|2008
12|2005
12|2002
12|2006
11|2009
11|1994
11|2000
11|2005
11|2010
11|1994
10|2007
10|2001
10|2011
10|2006
9|2007
9|2006
9|1993
9|2002
9|1997
8|2008
8|2007
8|2007
8|2004
7|2004
7|2007
7|1993
7|2010
7|2010
7|2004
6|2007
6|2008
6|2010
6|2004
6|2004
6|2003
6|2001
6|2010
5|1999
5|2003
5|2005
5|2011
5|2009
5|2006
5|2008
5|2006
4|1990
4|2004
4|2005
4|2010
4|2010
4|2007
4|2007
4|2006
4|2008
4|2006
4|1995
3|2012
3|2009
3|2005
3|1995
3|2006
3|2001
3|2007
3|2006
3|2004
3|2004
2|2009
2|2012
2|2006
2|1997
2|2006
2|2010
2|2003
2|2009
2|2006
2|2003
2|2006
2|2007
2|2005
2|1992
2|1989
2|1997
2|2009
1|2012
1|2012
1|2012
1|2011
1|2000
1|2008
1|1991
1|2011
1|1998
1|2005
1|1991
1|2001
1|1991
1|2010
1|2007
1|2011
1|2010
1|2008
1|2005
1|1999
1|2007
1|2008
1|2011
0|2003
0|2012
0|2004
0|2010
0|2012
0|2006
0|2012
0|2011
0|2012
0|2012
0|2012
0|2012
0|2003
0|1996
0|1993
0|1993
0|1998
0|2010
0|2011
0|2007
0|1996
0|2011
0|2000
0|2012
0|2012
0|2010
0|2011
0|2012
0|2011
0|1998
0|1995
0|2011
0|2011
0|2009
0|1996
0|1996
0|2010
0|2003
0|1997
0|2007
0|2011
0|2005
0|2011
0|2007
0|1996
0|2006
0|2007
0|2009
0|2004
0|2009
0|2007
0|2000
0|2007
0|2005
0|2007
0|2011
0|2009
0|2010
0|2011
0|1997
0|2008
0|2008
0|1997
0|2011
0|2011
0|2000
0|2004
0|2007
0|2011
0|2012
0|1997
0|2006
0|2012
0|1997
