795|2001
717|2001
604|2006
455|2001
453|2001
388|2002
377|2007
318|2000
304|2005
299|2005
296|2002
257|2005
234|2006
148|2002
137|2000
119|2008
83|2005
81|2005
80|2007
72|2010
70|1999
63|2008
59|2007
59|2006
58|2008
52|2008
52|1997
49|2003
35|2010
33|2006
31|2009
29|2009
29|2010
24|2007
20|2010
20|2009
19|1999
18|2010
17|2008
13|2007
12|1999
11|2011
10|2009
10|2010
7|2010
7|2004
6|2011
6|2011
6|2010
6|2011
5|2011
5|2011
5|2008
3|2011
3|2011
2|2011
2|2010
2|2010
1|2011
1|2006
1|2011
1|2003
1|2009
1|2008
1|2004
0|2012
0|2012
0|2010
0|2012
0|2012
0|2012
0|2010
0|2009
0|2011
0|2006
0|2010
0|2011
0|2009
0|2003
0|2009
0|2011
0|2012
0|2006
0|2008
0|2006
0|2003
0|2006
0|1998
