723|2008
90|2011
85|2010
76|2010
73|2010
64|2010
41|2002
36|2009
22|2011
18|2005
16|2011
14|2011
7|2007
6|2007
4|2011
3|2011
2|2012
1|2012
0|2011
0|2009
