,Valid,Name,Affiliation,Email Domain,Citation Count,ID,Paper Count,h-index,i10-index,g-index,scoquality,score,recentness
0,-,Jiming Liu,"Chair Professor of Computer Science, Hong Kong Baptist University",,110211.0,id_Il6ArO0AAAAJ,14259.0,122.0,2187.0,202.0,1.0,66.19783132530121,0.3239566265060241
1,+,yanxi liu,Penn State University,cse.psu.edu,65619.0,id_9gpR5y0AAAAJ,5106.0,102.0,1426.0,172.0,0.4947704321407853,30.984972024092087,0.12492900834105655
2,-,Ziqiang Wang,Tianjin Institute of Geology and Mineral resources,,37847.0,id_tiGGCdIAAAAJ,5782.0,72.0,860.0,121.0,0.40223746397249466,25.543263374713703,0.10862780352177943
3,-,Anuj Kumar Singh,"Research Associate, Orissa University of Agriculture and Technology,Bhubaneswar",,60966.0,id_XSGHN8IAAAAJ,15106.0,91.0,1506.0,138.0,0.721478211240001,41.02391056200005,0.099
4,+,Qingfu Zhang,"Professor of Computer Science and mathematics, Essex University",essex.ac.uk,5850.0,id_nhL9PHwAAAAJ,3252.0,25.0,113.0,58.0,0.1229764612809544,10.056131418344027,0.07814616708592613
5,+,Li Zhang,"Professor of Computer Science, University of Wisconsin",cs.wisc.edu,9432.0,id_Hl5HymUAAAAJ,2730.0,38.0,188.0,66.0,0.1437703653554724,10.707192966568801,0.07037349397590363
6,-,Tao Jiang,"Department of Computer Science, University of California, Riverside, CA 92521, USA",,18086.0,id_3PCz1j0AAAAJ,2912.0,59.0,400.0,92.0,0.17186068561065782,12.028215003424457,0.06870361445783134
7,+,Nikos Mastorakis,"Professor at: Techn. Univ of Sofia, BULGARIA / Univ of Cluj, ROMANIA,/ Univ Obuda,  &hellip;",tu-sofia.bg,2852.0,id_ZhxzN_4AAAAJ,1702.0,18.0,61.0,23.0,0.06857121641088731,6.514604776588322,0.061720879120879125
8,-,Leida Chen,"Associate Professor of Business Intelligence &amp; Analytics, Creighton University",,5812.0,id_OGlJtigAAAAJ,2179.0,33.0,113.0,57.0,0.0976013167664592,7.92656921446489,0.06093006752283861
9,+,Akash Kumar,National University of Singapore,nus.edu.sg,16640.0,id_7Q6OSvsAAAAJ,7953.0,44.0,521.0,79.0,0.2937714094539558,17.294644218229365,0.05212147491063153
