Xu T.,SCOPUS,PLA Luoyang China
Bae^ Changseok,SCOPUS,Electronics and Telecommunication Research Institute 218 Gajeongno Yuseong-Gu Daejeon 305-700 South Korea
Sato^ Hiroyuki,SCOPUS,School of Engineering University of Tokyo Japan
Sim´eon^ Jérôme,SCOPUS,IBM Watson Research Hawthorne NY United States
Kudoh T.,SCOPUS,National Institute of Advanced Industrial Science and Technology 1-1-1 Umezono Tsukuba Ibaraki 305-8568 Japan
Leitner I.,SCOPUS,RISC Software GmbH Softwarepark 35 4232 Hagenberg Austria
Daga A.,SCOPUS,Department of Computer Science Univ. of Houston Houston United States
Plale^ Beth,SCOPUS,Indiana University Bloomington IN 47405 United States
Paranawithana A.,SCOPUS,Department of Computer Science and Engineering University of Moratuwa UOM Moratuwa Sri Lanka
Sim´eon^ Jérôme,SCOPUS,IBM Watson Research Hawthorne NY United States
Trobec^ Roman,SCOPUS,Jožef Stefan Institute Slovenia
Akram W.,SCOPUS,Symantec Corporation ICON Baner Road Pune - 411021 India
Shulman^ Stuart W.,SCOPUS,Political Science Department U of Massachusetts Amherst Amherst MA United States
Nohara^ Yasunobu,SCOPUS,Kyushu University Hospital 3-1-1 Maidashi Higashi-ku Fukuoka Japan
Ahmed^ Ashir,SCOPUS,Department of Advanced Information Technology Kyushu University Fukuoka Japan
Teiken^ Wilfried,SCOPUS,IBM Research T.J. Watson Yorktown Heights NY United States
Dopazo^ Joaquin,SCOPUS,Department of Computational Genomics Centro Investigación Príncipe Felipe Valencia 46012 Spain
Terras^ Melissa M.,SCOPUS,University College London London United Kingdom
Zhang^ Ruisheng,SCOPUS,School of Information Science and Engineering Lanzhou University Lanzhou 730000 China
Cai F.,SCOPUS,EECS UC Berkeley Berkeley United States
Malhotra P.,SCOPUS,TCS Innovation Labs Delhi Tata Consultancy Services Ltd. Sector 63 Noida Uttar Pradesh India
Guerra P.,SCOPUS,Booz Allen Hamilton 304 Sentinel Drive Annapolis Junction MD 20701 United States
Inoue^ Sozo,SCOPUS,Faculty of Engineering Kyushu Inistitute of Technology 1-1 Sensui-cho Tobata-ku Kitakyushu 804-8550 Japan
Somenzi D.,SCOPUS,Athilab Via Solteri 38 38121 Trento Italy
Satoh^ Ichiro,SCOPUS,National Institute of Informatics 2-1-2 Hitotsubashi Chiyoda-ku Tokyo 101-8430 Japan
Mueller^ Wojciech,SCOPUS,Poznan University of Life Sciences Institute of Biosystems Engineering Poland
Marciano^ Richard J.,SCOPUS,University of North Carolina at Chapel Hill
Çatalyürek^ Ümit V.,SCOPUS,Dept. of Electrical and Computer Engineering Ohio State University United States
Chooralil^ Varghese S.,SCOPUS,Department of Computer Science and Engineering Rajagiri School of Engineering and Technology Mahatma Gandhi University Kochi India
Shyamasundar^ Rudrapatna K.,SCOPUS,Faculty of Technology and Computer Science Tata Institute of Fundamental Research Homi Bhabha Road Mumbai 400 005 India School of Computing National University of Singapore 13 Computing Drive Singapore - 119077 Singapore
Oikawa K.,SCOPUS,NTT Software Innovation Center NTT Corporation Tokyo Japan
Peuker M.,SCOPUS,Charité - Universitätsmedizin Berlin Berlin Germany
Montresor^ Alberto,SCOPUS,Università Degli Studi di Trento Italy
Sakamoto H.,SCOPUS,Graduate School of Computer Science and Systems Engineering Kyushu Institute of Technology 680-4 Kawazu Iizuka-shi Fukuoka Japan
Ingle^ Rajesh,SCOPUS,Department of Computer Engg. Pune Institute of Computer Technology Pune India
Liu^ Jin,SCOPUS,Wuhan University Computer School Wuhan 430070 China
Ferreira Junior^ José Raniery,SCOPUS,Computing Institute Lab of Telemedicine and Medical Informatics of the University Hospital(HUPAA) Federal University of Alagoas (UFAL) Maceió Brazil
Rajalakshmi^ S.,SCOPUS,Department of Computer Science and Engineeing SCSVMV University Enathur Kanchipuram Tamilnadu India
Justus^ Selwyn,SCOPUS,School of Computing Science and Engineering VIT University Chennai Tamilnadu India
Johnson R.,SCOPUS,Department of Computer Science University of Toronto Canada
O'Sullivan^ Barry,SCOPUS,Cork Constraint Computation Centre Department of Computer Science University College Cork Cork Ireland
Kant^ Chander,SCOPUS,Deptt. of Comp. Sc. and Appl. Kurukshetra University India
Gray S.C.,SCOPUS,IBM Watson Research Center Yorktown Heights United States
Chung^ Yehching,SCOPUS,Department of Computer Science National Tsing Hua University Hsinchu Taiwan
Yan B.,SCOPUS,Twitter Inc. India
Huang^ Maolin,SCOPUS,School of Computer Software Tianjin University Tianjin China School of Software Faculty of Engineering and IT University of Technology Sydney Sydney Australia
Almeida J.S.,SCOPUS,Division of Informatics Department of Pathology University of Alabama at Birmingham Birmingham AL United States
Nakashima^ Naoki,SCOPUS,Kyushu University Hospital 3-1-1 Maidashi Higashi-ku Fukuoka Japan
Shoshani A.,SCOPUS,Lawrence Berkeley Laboratory Berkeley CA United States
Van Der Schaar^ Mihaela,SCOPUS,University of California LOS Angeles CA United States
Boukhanovsky^ Alexander V.,SCOPUS,ITMO University Saint-Petersburg Russian Federation Netherlands Institute for Advanced Study in the Humanities and Social Sciences Wassenaar Netherlands
Dhanya^ P. M.,SCOPUS,Department of Computer Science and Engineering Rajagiri School of Engineering and Technology Kochi India
Choi^ Euiin,SCOPUS,Dept. of Computer Engineering Hannam University Daejeon South Korea
Lee^ Jeongkyu,SCOPUS,Department of Computer Science University of Bridgeport 221 University Ave Bridgeport CT United States
Kosar T.,SCOPUS,Department of Computer Science and Engineering University at Buffalo (SUNY) Buffalo NY 14260 United States
Korfiatis^ Nikolaos,SCOPUS,Big Data Analytics Research Lab Chair for Database and Information Systems Institute for Informatics and Mathematics Goethe University Frankfurt Robert-Mayer-Str. 10 60325 Frankfurt am main Germany
Kim^ Yong-sung,SCOPUS,Department of Computer Engineering Chonbuk National University 664-14 DuckJin-Dong DuckJin-Gu Jeonju South Korea
Yamaguchi^ Atsuko,SCOPUS,Database Center for Life Science Research Organization of Information and Systems 178-4-4 Wakashiba Kashiwa Chiba 277-0871 Japan
Gao F.,SCOPUS,Beijing Institute of Astronautics Control Device China Academy of Aerospace Electronics Technology Beijing 100094 China
Cho H.J.,SCOPUS,Department of Smart Mobile Far East University Gamgok Eumseong Chungbuk South Korea
